datetime,open,high,low,close
2022-09-08 14:30:00,40190.1,40261.7,40174.25,40224.6
2022-04-05 09:15:00,38731.3,38759.25,38342.4,38493.6
2023-02-01 11:30:00,41228.6,41321.9,41228.65,41296.9
2023-03-13 10:00:00,40533.1,40594.6,40502.95,40504.0
2023-03-27 14:30:00,39649.1,39690.85,39584.5,39590.2
2023-02-15 10:30:00,41576.5,41656.6,41568.4,41572.4
2022-08-08 15:00:00,38266.1,38291.15,38219.85,38227.4
2023-04-17 09:45:00,42117.8,42143.2,41849.5,41859.5
2023-03-09 14:45:00,41382.6,41386.4,41292.8,41305.9
2023-05-25 12:15:00,43549.6,43601.25,43543.85,43574.2
2023-07-20 10:45:00,45722.5,45753.4,45703.4,45724.0
2023-05-26 10:45:00,43651.0,43666.35,43635.35,43650.0
2022-07-26 13:15:00,36525.9,36567.0,36510.8,36563.2
2023-06-28 12:00:00,44383.2,44421.05,44320.45,44320.4
2023-03-10 13:30:00,40489.2,40496.3,40434.05,40442.1
2022-06-15 11:30:00,33371.4,33426.7,33362.95,33391.2
2022-04-19 14:30:00,36994.2,37016.2,36913.6,36955.2
2023-03-10 13:15:00,40526.3,40537.3,40470.1,40489.4
2022-09-06 10:15:00,39744.4,39745.0,39564.3,39602.3
2022-04-04 12:00:00,38321.7,38338.9,38138.45,38143.6
2022-09-12 10:45:00,40594.3,40601.55,40566.3,40578.9
2022-11-02 12:00:00,41313.8,41339.3,41265.95,41278.2
2022-08-29 10:00:00,38345.9,38397.1,38321.45,38347.2
2022-03-14 14:45:00,35349.9,35435.1,35339.9,35419.9
2022-11-15 12:15:00,42105.1,42177.15,42079.55,42162.6
2022-04-05 13:30:00,38580.5,38631.0,38498.75,38566.4
2023-02-09 10:45:00,41378.2,41392.1,41318.35,41383.6
2022-04-07 11:30:00,37677.5,37775.7,37656.85,37733.4
2023-01-23 13:30:00,42828.0,42844.85,42798.6,42836.0
2022-09-29 13:15:00,37612.0,37660.9,37564.65,37611.3
2022-09-09 13:45:00,40335.6,40444.1,40334.25,40427.9
2023-06-05 10:00:00,44223.1,44238.3,44189.5,44198.8
